Main.SALT2_Jacobian | [Info] Logging to /home/patricka/.julia/dev/SALT2_Jacobian/Examples/Outputs/CompareSufaces/log.txt
Main.SALT2_Jacobian | [Info] Comparing surfaces
Main.SALT2_Jacobian | [Info] Comparison:
┌───────────────────────────────┬────────────────────────┬──────────┬──────────┬────────────┐
│     Jacobian Trained Surfaces │ SALT2 Trained Surfaces │ Spline 1 │ Spline 2 │ Colour Law │
├───────────────────────────────┼────────────────────────┼──────────┼──────────┼────────────┤
│  Median Percentage Difference │                        │      0.0 │      0.0 │        0.0 │
│                               │                        │          │          │            │
│ Maximum Percentage Difference │               Spline 1 │          │          │            │
│                   TRAINOPT062 │            TRAINOPT062 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT063 │            TRAINOPT063 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT064 │            TRAINOPT064 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT065 │            TRAINOPT065 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT066 │            TRAINOPT066 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT067 │            TRAINOPT067 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT068 │            TRAINOPT068 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT069 │            TRAINOPT069 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT070 │            TRAINOPT070 │      0.0 │      0.0 │        0.0 │
└───────────────────────────────┴────────────────────────┴──────────┴──────────┴────────────┘

